seed,alpha_init,gamma_init,ensemble_size,num_epochs,batch_size,lr,model_type,final_test_accuracy,avg_test_accuracy,final_losses,avg_losses
42,-1,-1,4,15,256,0.0002,batchensemble_complex,80.16,75.666,0.09270457298095737,0.4866451092545881
42,-1,-0.8,4,15,256,0.0002,batchensemble_complex,80.55,76.15133333333333,0.08133347972999422,0.4626121524582002
42,-1,-0.5,4,15,256,0.0002,batchensemble_complex,80.63,76.85600000000001,0.07159655723644763,0.42139187415897034
42,-1,-0.2,4,15,256,0.0002,batchensemble_complex,81.0,76.74266666666668,0.06243234897526551,0.3791188458538278
42,-1,0,4,15,256,0.0002,batchensemble_complex,80.96,77.03333333333333,0.060471976232924024,0.3645802290337224
42,-1,0.2,4,15,256,0.0002,batchensemble_complex,81.07,76.528,0.07017373612948827,0.4060051252457256
42,-1,0.5,4,15,256,0.0002,batchensemble_complex,81.23,76.89333333333335,0.07827925742888937,0.4297574345922085
42,-1,0.8,4,15,256,0.0002,batchensemble_complex,81.05,76.64266666666667,0.07100717739525195,0.40520387440476385
42,-1,1,4,15,256,0.0002,batchensemble_complex,81.63,77.06066666666668,0.059241019712038795,0.3678339508932312
42,-0.8,-1,4,15,256,0.0002,batchensemble_complex,80.95,76.06733333333334,0.0840599325732613,0.46081392590438025
42,-0.8,-0.8,4,15,256,0.0002,batchensemble_complex,81.19,76.21733333333333,0.07933423962748172,0.43877592431951545
42,-0.8,-0.5,4,15,256,0.0002,batchensemble_complex,80.93,77.046,0.06362822461797267,0.39354073331773687
42,-0.8,-0.2,4,15,256,0.0002,batchensemble_complex,81.74,77.75533333333333,0.05823542116856088,0.3480955169162377
42,-0.8,0,4,15,256,0.0002,batchensemble_complex,80.9,77.52399999999999,0.05746578759684855,0.34122736230049105
42,-0.8,0.2,4,15,256,0.0002,batchensemble_complex,80.78,76.85266666666666,0.06463460855147972,0.3905619170066907
42,-0.8,0.5,4,15,256,0.0002,batchensemble_complex,81.8,76.998,0.07754137460142374,0.4146457301782203
42,-0.8,0.8,4,15,256,0.0002,batchensemble_complex,81.31,76.48866666666666,0.06620551307438588,0.392634602337062
42,-0.8,1,4,15,256,0.0002,batchensemble_complex,80.55,77.14066666666666,0.05403267755648311,0.3415905742057073
42,-0.5,-1,4,15,256,0.0002,batchensemble_complex,80.69,76.21666666666667,0.07036793591188532,0.4206454044752786
42,-0.5,-0.8,4,15,256,0.0002,batchensemble_complex,81.63,76.78666666666666,0.06521357040928334,0.39789658063503147
42,-0.5,-0.5,4,15,256,0.0002,batchensemble_complex,80.14,77.338,0.05179656433815859,0.34829188449764437
42,-0.5,-0.2,4,15,256,0.0002,batchensemble_complex,80.2,77.48333333333333,0.040261576736193835,0.28743351422120395
42,-0.5,0,4,15,256,0.0002,batchensemble_complex,80.14,76.93066666666667,0.031711707970279515,0.2839260591913116
