seed,alpha_init,gamma_init,ensemble_size,num_epochs,batch_size,lr,model_type,final_test_accuracy,avg_test_accuracy,final_losses,avg_losses
42,0.5,0.5,2,15,2,0.02,batchensemble_complex,10.0,10.0,2.313144411935806,2.3205293466580708
42,0.5,0.5,2,15,2,0.002,batchensemble_complex,75.0,60.449333333333335,0.46091967797771594,1.0024829082880766
42,0.5,0.5,2,15,2,0.0002,batchensemble_complex,81.39,77.93066666666667,0.08478374276410666,0.4499442217996584
42,0.5,0.5,3,15,3,0.02,batchensemble_complex,40.05,29.67733333333333,1.8302820994256461,1.9663510008038612
42,0.5,0.5,3,15,3,0.002,batchensemble_complex,78.59,69.538,0.29424720921303155,0.8200379364919536
42,0.5,0.5,3,15,3,0.0002,batchensemble_complex,82.93,79.586,0.07045677644514022,0.4466668828688557
42,0.5,0.5,4,15,4,0.02,batchensemble_complex,54.57,39.12133333333333,1.8006676078701018,1.9676141610164641
42,0.5,0.5,4,15,4,0.002,batchensemble_complex,78.81,69.688,0.3398271605185431,0.851623482121174
42,0.5,0.5,4,15,4,0.0002,batchensemble_complex,84.84,80.16133333333333,0.09856930547392873,0.473862419319808
42,0.5,0.5,6,15,6,0.02,batchensemble_complex,70.82,52.214666666666666,1.815846908269868,1.9793230615046662
42,0.5,0.5,6,15,6,0.002,batchensemble_complex,82.89,74.398,0.2851530789984734,0.7750770262992497
42,0.5,0.5,6,15,6,0.0002,batchensemble_complex,84.15,79.27066666666666,0.12841387454411227,0.5050974813828494
42,0.5,0.5,7,15,7,0.02,batchensemble_complex,56.45,43.06666666666667,1.981873110848349,2.094729374241543
42,0.5,0.5,7,15,7,0.002,batchensemble_complex,84.14,75.07600000000001,0.24936822976598863,0.7411548075981869
42,0.5,0.5,7,15,7,0.0002,batchensemble_complex,84.42,79.44800000000001,0.13144298919658812,0.5098491659447787
42,0.5,0.5,8,15,8,0.02,batchensemble_complex,73.08,54.09066666666667,1.9289933751487731,2.05917241653951
42,0.5,0.5,8,15,8,0.002,batchensemble_complex,83.37,73.51333333333334,0.3237309217047319,0.8202838429399207
42,0.5,0.5,8,15,8,0.0002,batchensemble_complex,84.39,79.19533333333334,0.14073791818450204,0.5179963211135423
42,0.5,0.5,9,15,9,0.02,batchensemble_complex,73.42,57.42466666666667,1.8086766304087518,1.9687415900749927
42,0.5,0.5,9,15,9,0.002,batchensemble_complex,84.35,74.94933333333333,0.2887774602438962,0.7627051145435189
42,0.5,0.5,9,15,9,0.0002,batchensemble_complex,84.02,78.75800000000001,0.14929778462818882,0.5297612369285035
