seed,alpha_init,gamma_init,ensemble_size,num_epochs,batch_size,lr,model_type,final_test_accuracy,avg_test_accuracy
42,0.5,0.5,2,15,2,0.02,batchensemble_complex,10.0,10.0
42,0.5,0.5,3,15,3,0.02,batchensemble_complex,33.53,25.466666666666665
42,0.5,0.5,4,15,4,0.02,batchensemble_complex,25.6,22.696
42,0.5,0.5,5,15,5,0.02,batchensemble_complex,52.56,40.34666666666667
42,0.5,0.5,6,15,6,0.02,batchensemble_complex,63.01,40.968666666666664
42,0.5,0.5,7,15,7,0.02,batchensemble_complex,66.04,46.772000000000006
42,0.5,0.5,8,15,8,0.02,batchensemble_complex,66.56,47.558
42,0.5,0.5,9,15,9,0.02,batchensemble_complex,69.94,53.650666666666666
42,0.5,0.5,10,15,10,0.02,batchensemble_complex,62.85,47.727999999999994
42,0.5,0.5,2,15,2,0.002,batchensemble_complex,10.0,10.0
42,0.5,0.5,3,15,3,0.002,batchensemble_complex,75.52,65.95533333333334
42,0.5,0.5,4,15,4,0.002,batchensemble_complex,77.76,67.46266666666666
42,0.5,0.5,5,15,5,0.002,batchensemble_complex,82.08,71.39733333333334
42,0.5,0.5,6,15,6,0.002,batchensemble_complex,82.43,72.372
42,0.5,0.5,7,15,7,0.002,batchensemble_complex,83.95,73.42399999999999
42,0.5,0.5,8,15,8,0.002,batchensemble_complex,83.45,71.96466666666667
42,0.5,0.5,9,15,9,0.002,batchensemble_complex,83.64,72.558
42,0.5,0.5,10,15,10,0.002,batchensemble_complex,84.28,74.34333333333333
42,0.5,0.5,2,15,2,0.0002,batchensemble_complex,78.7,72.25800000000001
42,0.5,0.5,3,15,3,0.0002,batchensemble_complex,79.82,74.39533333333334
42,0.5,0.5,4,15,4,0.0002,batchensemble_complex,81.67,76.514
