seed,alpha_init,gamma_init,ensemble_size,num_epochs,batch_size,lr,model_type,final_test_accuracy,avg_test_accuracy,final_losses,avg_losses
42,0.5,0.5,2,15,2,0.02,batchensemble_complex,10.0,10.0,2.3134192153692243,2.3137627879597344
42,0.5,0.5,2,15,2,0.002,batchensemble_complex,10.0,10.0,2.303766895542145,2.303723343861898
42,0.5,0.5,2,15,2,0.0002,batchensemble_complex,78.7,72.25800000000001,0.16010286025016146,0.6180657687440897
42,0.5,0.5,3,15,3,0.02,batchensemble_complex,23.87,21.527333333333335,2.1209309050966314,2.167038892534756
42,0.5,0.5,3,15,3,0.002,batchensemble_complex,75.95,68.47600000000001,0.2989554846499418,0.8108565209720985
42,0.5,0.5,3,15,3,0.0002,batchensemble_complex,81.32,74.8,0.1750084239512303,0.6264088065649379
42,0.5,0.5,4,15,4,0.02,batchensemble_complex,18.96,18.755333333333333,2.234670315246582,2.229699620478948
42,0.5,0.5,4,15,4,0.002,batchensemble_complex,80.75,69.47,0.32337401241445446,0.8628360741814282
42,0.5,0.5,4,15,4,0.0002,batchensemble_complex,82.13,76.31533333333333,0.15593014795119284,0.5977791225032292
42,0.5,0.5,5,15,5,0.02,batchensemble_complex,52.56,40.34666666666667,1.8584704619884491,2.009191560602983
42,0.5,0.5,5,15,5,0.002,batchensemble_complex,82.08,71.39733333333334,0.3016208846327878,0.806033832496133
42,0.5,0.5,5,15,5,0.0002,batchensemble_complex,84.78,78.31400000000001,0.1352779144158989,0.5513207515547213
42,0.5,0.5,6,15,6,0.02,batchensemble_complex,51.07,36.52733333333333,2.119391511491886,2.183944877056434
42,0.5,0.5,6,15,6,0.002,batchensemble_complex,81.89,72.22333333333333,0.28961942944294783,0.7977957673670375
42,0.5,0.5,6,15,6,0.0002,batchensemble_complex,83.74,78.74466666666667,0.14439175999221024,0.5438685383239686
42,0.5,0.5,7,15,7,0.02,batchensemble_complex,54.93,38.50533333333333,2.0217983604695773,2.112166867081932
42,0.5,0.5,7,15,7,0.002,batchensemble_complex,83.3,71.708,0.3115134017819589,0.8402891293646245
42,0.5,0.5,7,15,7,0.0002,batchensemble_complex,84.13,78.92266666666666,0.14216439796832714,0.5206917984041146
42,0.5,0.5,8,15,8,0.02,batchensemble_complex,67.89,46.876666666666665,1.96728935131073,2.0791653330167135
42,0.5,0.5,8,15,8,0.002,batchensemble_complex,83.95,72.22399999999999,0.484198792321682,0.9735776536566417
42,0.5,0.5,8,15,8,0.0002,batchensemble_complex,84.17,78.22466666666666,0.15105962726302444,0.5331837622294097
42,0.5,0.5,9,15,9,0.02,batchensemble_complex,67.75,51.440000000000005,1.744545025049653,1.9084511252310112
42,0.5,0.5,9,15,9,0.002,batchensemble_complex,83.8,72.42066666666666,0.3114560686019662,0.8445598495641558
42,0.5,0.5,9,15,9,0.0002,batchensemble_complex,84.31,79.23333333333333,0.15103335056170322,0.5212981517494991
